Year,Active,Client ID,First Name,Last Name,Gender,Date of Birth,City,Indigenous,PWD,Vet,Emergency Sheltered,Bus Pass,Clothing Supplement,Pet Deposit,PSSG,Status,Deceased
2005,Y,59207030,Emma,Decker,Female,15-Mar-78,Quesnel,N,N,N,N,N,N,Y,N,,
2019,Y,94768225,James,Armstrong,Male,24-Jul-54,Quesnel,Y,N,Y,Y,N,N,N,N,,
2000,N,97516017,Luke,Colwell,Male,10-Aug-64,Langley,N,N,N,N,N,N,N,N,,
2013,Y,33457258,Matt,Nguyen,Male,24-Mar-02,Delta,N,N,N,Y,N,N,N,N,,
2018,Y,29841429,Emma,Meadows,Female,17-Aug-65,New Westminster,N,N,N,Y,N,N,N,N,,
2013,Y,58950389,Henry,Henderson,Male,15-Aug-86,Surrey,N,N,N,Y,N,N,Y,N,,
2009,Y,12640516,Lucas,Rodriguez,Male,05-Nov-73,Port Coquitlam,Y,N,N,Y,N,N,Y,N,,
2020,Y,74826125,Matt,Chechock,Male,21-Nov-54,Rossland,Y,N,N,N,N,N,N,N,,
2009,Y,68014741,Jack,Danford,Male,11-Aug-85,Powell River,N,N,N,N,N,N,N,N,,
2004,N,92254004,John,Li,Male,21-Dec-51,Campbell River,Y,N,Y,N,Y,N,N,Y,,
2005,N,87652617,Oliver,Hebert,Male,13-Jul-84,Greenwood,Y,N,N,N,N,N,N,Y,,
2017,Y,89907802,Samantha,Shakya,Female,01-Jan-49,Greenwood,Y,N,N,Y,N,N,Y,N,,
2020,Y,95852548,Jacob,MacDonald,Male,04-Apr-56,Salmon Arm,N,N,N,Y,N,N,N,N,,
2010,Y,32422325,Oliver,Alary,Male,01-Aug-59,Langley,Y,N,N,N,N,N,N,N,,
2007,Y,55789922,Luke,Russell,Male,16-Sep-67,Parksville,N,N,N,N,N,N,N,N,,
2008,Y,78985316,Emilia,Griffin,Female,04-Nov-98,Colwood,N,N,N,N,N,N,N,N,,
2017,Y,80581611,Aiden,Ford,Male,22-Aug-81,Victoria,N,N,N,N,N,N,N,N,,
2004,Y,89663317,Abigail,Ho,Female,07-Apr-74,Langford,Y,N,N,Y,N,N,Y,N,,
2016,Y,46811238,Josephine,Dari,Female,10-Sep-80,Rossland,Y,N,N,N,N,N,N,N,,
2004,Y,87050194,Tom,Desjardins,Male,15-Apr-76,Kelowna,N,N,N,Y,N,N,Y,N,,
2014,Y,88982295,Alex,Cook,Male,18-Aug-67,Pitt Meadows,Y,N,Y,N,N,N,N,N,,
2017,N,98365737,Sofia,Sukkel,Female,18-Jan-84,Enderby,Y,N,N,N,N,N,N,N,,09-Jun-21
2008,Y,84592914,Charles,Sanchez,Male,24-Jan-75,Fernie,Y,N,N,N,N,N,N,N,,
2019,Y,95157812,Gabe,Parkhurst,Male,05-Nov-83,Courtenay,N,N,N,N,N,N,N,N,,
2017,Y,26643455,Charles,Connors,Male,05-Oct-89,Maple Ridge,Y,N,N,Y,N,N,N,N,,
2016,Y,40368434,Ethan,Blondin,Male,04-Jul-89,Chilliwack,Y,N,N,Y,N,N,Y,N,,
2014,Y,40186644,Claire,Little,Female,23-Nov-02,Salmon Arm,Y,N,N,Y,N,N,Y,N,,
2003,Y,86003871,Avery,Connors,Female,22-Mar-80,Duncan,Y,N,N,N,N,N,N,N,,
2017,Y,33991032,John,King,Male,04-Apr-61,Pitt Meadows,N,N,N,Y,N,N,N,N,,
2016,Y,86765832,Hailey,Gonzales,Female,26-Mar-87,Enderby,Y,N,N,N,N,N,N,N,,
2010,N,40079674,Owen,McDonald,Male,03-Dec-56,Williams Lake,N,N,N,N,N,N,N,Y,,
2006,Y,19403257,Oliver,Barnes,Male,01-Jan-77,Langford,N,N,N,N,N,N,N,N,,
2000,Y,57962160,Leo,Little,Male,12-Nov-62,Quesnel,N,N,N,Y,Y,N,Y,N,,
2000,Y,50088106,William,Hennigar,Male,07-Feb-85,Chilliwack,Y,N,N,Y,N,N,N,N,,
2003,Y,97522349,Chris,McKinney,Male,16-Feb-65,Coquitlam,Y,N,N,N,N,N,N,N,,
2000,Y,87174110,David,Butler,Male,19-Jun-84,Port Alberni,N,N,N,Y,N,N,Y,N,,
2004,Y,69891363,Autumn,Chow,Female,25-Jul-03,Dawson Creek,Y,N,N,Y,N,N,Y,N,,
2009,Y,52925736,Joe,Antoine,Male,20-Sep-78,Trail,Y,N,Y,Y,N,N,Y,N,,
